Date,1log_CPI,Exp.Infl,1log_rGDP,UR,2log_M1,EFFR
01/01/1992,0,3.27,0,7.3,0,4.03
01/02/1992,0.3,3.34,0.41175019,7.4,0,4.06
01/03/1992,0.5,3.59,0.78610845,7.4,1.58,3.98
01/04/1992,0.3,3.37,0.06347002,7.4,0.96,3.73
01/05/1992,0.3,3.41,-0.17837847,7.6,-3.49,3.82
01/06/1992,0.4,3.55,1.28514889,7.8,1.89,3.76
01/07/1992,0.4,3.28,0.17410155,7.7,0.29,3.25
01/08/1992,0.3,3.11,-0.19814116,7.6,-0.29,3.3
01/09/1992,0.3,3.01,0.34117953,7.6,0.45,3.22
01/10/1992,0.6,2.95,0.54818431,7.3,0.55,3.1
01/11/1992,0.4,3.08,0.27804215,7.4,0.25,3.09
01/12/1992,0.2,3.01,0.36091389,7.4,0.36,2.92
01/01/1993,0.5,3.05,-0.15109204,7.3,-3,3.02
01/02/1993,0.3,2.91,0.15601382,7.1,-1.21,3.03
01/03/1993,0.2,2.98,-0.36589962,7.0,2.65,3.07
01/04/1993,0.5,2.91,0.38651233,7.1,1.83,2.96
01/05/1993,0.4,2.82,0.58359887,7.1,-2.75,3
01/06/1993,0.1,2.81,-0.03006105,7.0,1.56,3.04
01/07/1993,0.2,2.82,-0.21636304,6.9,-0.37,3.06
01/08/1993,0.3,2.83,0.39242294,6.8,-0.63,3.03
01/09/1993,0.2,2.69,0.75989825,6.7,0.57,3.09
01/10/1993,0.6,2.77,-0.0221434,6.8,0.21,2.99
01/11/1993,0.4,2.81,0.9794517,6.6,0.46,3.02
01/12/1993,0.3,2.66,0.2602437,6.5,0.69,2.96
01/01/1994,0,2.85,-0.0083679,6.6,-3.59,3.05
01/02/1994,0.4,2.8,0.5641863,6.6,-0.63,3.25
01/03/1994,0.4,3.27,0.3360473,6.5,2.52,3.34
01/04/1994,0.1,3.22,0.3452734,6.4,1.38,3.56
01/05/1994,0.3,3.24,0.9897667,6.1,-4.13,4.01
01/06/1994,0.4,3.42,-0.107494,6.1,3,4.25
01/07/1994,0.5,3.28,0.026939,6.1,-0.07,4.26
01/08/1994,0.6,3.29,0.7062002,6.0,-1.59,4.47
01/09/1994,0.3,3.25,-0.45418,5.9,0.91,4.73
01/10/1994,0.1,3.5,0.9514265,5.8,-0.08,4.76
01/11/1994,0.4,3.57,-0.0613655,5.6,0.68,5.29
01/12/1994,0.3,3.91,1.045733,5.5,1,5.45
01/01/1995,0.4,3.7,0.0255025,5.6,-3.33,5.53
01/02/1995,0.4,3.56,-0.7648756,5.4,-0.92,5.92
01/03/1995,0.3,3.47,0.5447495,5.4,2.82,5.98
01/04/1995,0.6,3.46,-0.3242532,5.8,1.7,6.05
01/05/1995,0.3,3.47,0.2944823,5.6,-4.74,6.01
01/06/1995,0.3,3.06,1.0075486,5.6,3.35,6
01/07/1995,0.2,3.26,-0.5280871,5.7,-0.24,5.85
01/08/1995,0.3,3.27,0.5824029,5.7,-1.11,5.74
01/09/1995,0.2,3.21,0.8116422,5.6,0.55,5.8
01/10/1995,0.4,3.13,-0.4623405,5.5,-0.46,5.76
01/11/1995,0.2,2.98,0.1834416,5.6,1.12,5.8
01/12/1995,0.2,2.75,0.993802,5.6,0.84,5.6
01/01/1996,0.8,3,-0.2206334,5.6,-3.66,5.56
01/02/1996,0.3,2.92,0.1657733,5.5,-0.19,5.22
01/03/1996,0.5,2.62,0.5806941,5.5,3.66,5.31
01/04/1996,0.6,3.13,1.4375181,5.6,0.16,5.22
01/05/1996,0.3,3.25,-0.3607311,5.6,-3.97,5.24
01/06/1996,0.3,3.23,0.4980081,5.3,3.5,5.27
01/07/1996,0.3,3.14,0.4080166,5.5,-1.34,5.4
01/08/1996,0.2,3.11,0.3233213,5.1,-0.87,5.22
01/09/1996,0.5,3.13,0.4507186,5.2,0.7,5.3
01/10/1996,0.5,3.18,0.7460081,5.2,-0.73,5.24
01/11/1996,0.5,3.1,0.2174125,5.4,2.23,5.31
01/12/1996,0.4,2.96,-0.439214,5.4,0.94,5.29
01/01/1997,0.3,3.16,0.6653761,5.3,-3.63,5.25
01/02/1997,0.3,3.13,0.7935696,5.2,-0.32,5.19
01/03/1997,0.1,3.23,-0.7498033,5.2,2.35,5.39
01/04/1997,0.1,3.23,2.5098061,5.1,0.29,5.51
01/05/1997,0,3.13,-1.0998897,4.9,-2.51,5.5
01/06/1997,0.3,3.2,1.0061326,5.0,2.99,5.56
01/07/1997,0.2,3.09,0.9295837,4.9,-0.91,5.52
