Date,realgdp,cpi,unemp,effr
1992-01-01,9486.357279,138.3,7.3,4.03
1992-02-01,9527.532298,138.6,7.4,4.06
1992-03-01,9606.143143,139.1,7.4,3.98
1992-04-01,9612.490145,139.4,7.4,3.73
1992-05-01,9594.652298,139.7,7.6,3.82
1992-06-01,9723.167187,140.1,7.8,3.76
1992-07-01,9740.577342,140.5,7.7,3.25
1992-08-01,9720.763226,140.8,7.6,3.3
1992-09-01,9754.881179,141.1,7.6,3.22
1992-10-01,9809.69961,141.7,7.3,3.1
1992-11-01,9837.503825,142.1,7.4,3.09
1992-12-01,9873.595214,142.3,7.4,2.92
1993-01-01,9858.48601,142.8,7.3,3.02
1993-02-01,9874.087392,143.1,7.1,3.03
1993-03-01,9837.49743,143.3,7,3.07
1993-04-01,9876.148663,143.8,7.1,2.96
1993-05-01,9934.50855,144.2,7.1,3
1993-06-01,9931.502445,144.3,7,3.04
1993-07-01,9909.866141,144.5,6.9,3.06
1993-08-01,9949.108435,144.8,6.8,3.03
1993-09-01,10025.09826,145,6.7,3.09
1993-10-01,10022.88392,145.6,6.8,2.99
1993-11-01,10120.82909,146,6.6,3.02
1993-12-01,10146.85346,146.3,6.5,2.96
1994-01-01,10146.01667,146.3,6.6,3.05
1994-02-01,10202.4353,146.7,6.6,3.25
1994-03-01,10236.04003,147.1,6.5,3.34
1994-04-01,10270.56737,147.2,6.4,3.56
1994-05-01,10369.54404,147.5,6.1,4.01
1994-06-01,10358.79464,147.9,6.1,4.25
1994-07-01,10361.48854,148.4,6.1,4.26
1994-08-01,10432.10856,149,6,4.47
1994-09-01,10386.69056,149.3,5.9,4.73
1994-10-01,10481.83321,149.4,5.8,4.76
1994-11-01,10475.69666,149.8,5.6,5.29
1994-12-01,10580.26996,150.1,5.5,5.45
1995-01-01,10582.82021,150.5,5.6,5.53
1995-02-01,10506.33265,150.9,5.4,5.92
1995-03-01,10560.8076,151.2,5.4,5.98
1995-04-01,10528.38228,151.8,5.8,6.05
1995-05-01,10557.83051,152.1,5.6,6.01
1995-06-01,10658.58537,152.4,5.6,6
1995-07-01,10605.77666,152.6,5.7,5.85
1995-08-01,10664.01695,152.9,5.7,5.74
1995-09-01,10745.18117,153.1,5.6,5.8
1995-10-01,10698.94712,153.5,5.5,5.76
1995-11-01,10717.29128,153.7,5.6,5.8
1995-12-01,10816.67148,153.9,5.6,5.6
1996-01-01,10794.60814,154.7,5.6,5.56
1996-02-01,10811.18547,155,5.5,5.22
1996-03-01,10869.25488,155.5,5.5,5.31
1996-04-01,11013.00669,156.1,5.6,5.22
1996-05-01,10976.93358,156.4,5.6,5.24
1996-06-01,11026.73439,156.7,5.3,5.27
1996-07-01,11067.53605,157,5.5,5.4
1996-08-01,11099.86818,157.2,5.1,5.22
1996-09-01,11144.94004,157.7,5.2,5.3
1996-10-01,11219.54085,158.2,5.2,5.24
1996-11-01,11241.2821,158.7,5.4,5.31
1996-12-01,11197.3607,159.1,5.4,5.29
1997-01-01,11263.89831,159.4,5.3,5.25
1997-02-01,11343.25527,159.7,5.2,5.19
1997-03-01,11268.27494,159.8,5.2,5.39
1997-04-01,11519.25555,159.9,5.1,5.51
1997-05-01,11409.26658,159.9,4.9,5.5
1997-06-01,11509.87984,160.2,5,5.56
1997-07-01,11602.83821,160.4,4.9,5.52
