Date,realgdp,cpi,unemp,effr,expinf,2Log_M1,KCFSI
1992-01-01,9486.357279,138.3,7.3,4.03,3.27,0,0.058178237
1992-02-01,9527.532298,138.6,7.4,4.06,3.34,0,0.002363919
1992-03-01,9606.143143,139.1,7.4,3.98,3.59,1.58,-0.12934756
1992-04-01,9612.490145,139.4,7.4,3.73,3.37,0.96,-0.36838741
1992-05-01,9594.652298,139.7,7.6,3.82,3.41,-3.49,-0.506196257
1992-06-01,9723.167187,140.1,7.8,3.76,3.55,1.89,-0.426816495
1992-07-01,9740.577342,140.5,7.7,3.25,3.28,0.29,-0.420529377
1992-08-01,9720.763226,140.8,7.6,3.3,3.11,-0.29,-0.389824311
1992-09-01,9754.881179,141.1,7.6,3.22,3.01,0.45,-0.473115418
1992-10-01,9809.69961,141.7,7.3,3.1,2.95,0.55,-0.13968729
1992-11-01,9837.503825,142.1,7.4,3.09,3.08,0.25,-0.317878637
1992-12-01,9873.595214,142.3,7.4,2.92,3.01,0.36,-0.375346738
1993-01-01,9858.48601,142.8,7.3,3.02,3.05,-3,-0.282074366
1993-02-01,9874.087392,143.1,7.1,3.03,2.91,-1.21,-0.351551506
1993-03-01,9837.49743,143.3,7,3.07,2.98,2.65,-0.279535237
1993-04-01,9876.148663,143.8,7.1,2.96,2.91,1.83,-0.187380327
1993-05-01,9934.50855,144.2,7.1,3,2.82,-2.75,-0.463795434
1993-06-01,9931.502445,144.3,7,3.04,2.81,1.56,-0.444686021
1993-07-01,9909.866141,144.5,6.9,3.06,2.82,-0.37,-0.591249759
1993-08-01,9949.108435,144.8,6.8,3.03,2.83,-0.63,-0.655869957
1993-09-01,10025.09826,145,6.7,3.09,2.69,0.57,-0.628875211
1993-10-01,10022.88392,145.6,6.8,2.99,2.77,0.21,-0.515188807
1993-11-01,10120.82909,146,6.6,3.02,2.81,0.46,-0.729756063
1993-12-01,10146.85346,146.3,6.5,2.96,2.66,0.69,-0.837795173
1994-01-01,10146.01667,146.3,6.6,3.05,2.85,-3.59,-0.937104989
1994-02-01,10202.4353,146.7,6.6,3.25,2.8,-0.63,-0.876744951
1994-03-01,10236.04003,147.1,6.5,3.34,3.27,2.52,-0.625707131
1994-04-01,10270.56737,147.2,6.4,3.56,3.22,1.38,-0.571480375
1994-05-01,10369.54404,147.5,6.1,4.01,3.24,-4.13,-0.832951766
1994-06-01,10358.79464,147.9,6.1,4.25,3.42,3,-0.87020826
1994-07-01,10361.48854,148.4,6.1,4.26,3.28,-0.07,-0.850742397
1994-08-01,10432.10856,149,6,4.47,3.29,-1.59,-1.013640941
1994-09-01,10386.69056,149.3,5.9,4.73,3.25,0.91,-0.985405726
1994-10-01,10481.83321,149.4,5.8,4.76,3.5,-0.08,-0.954306054
1994-11-01,10475.69666,149.8,5.6,5.29,3.57,0.68,-0.815224883
1994-12-01,10580.26996,150.1,5.5,5.45,3.91,1,-0.577190797
1995-01-01,10582.82021,150.5,5.6,5.53,3.7,-3.33,-0.586877458
1995-02-01,10506.33265,150.9,5.4,5.92,3.56,-0.92,-0.848196677
1995-03-01,10560.8076,151.2,5.4,5.98,3.47,2.82,-0.933189769
1995-04-01,10528.38228,151.8,5.8,6.05,3.46,1.7,-0.953747139
1995-05-01,10557.83051,152.1,5.6,6.01,3.47,-4.74,-0.921526408
1995-06-01,10658.58537,152.4,5.6,6,3.06,3.35,-0.899904911
1995-07-01,10605.77666,152.6,5.7,5.85,3.26,-0.24,-0.879245945
1995-08-01,10664.01695,152.9,5.7,5.74,3.27,-1.11,-0.895370081
1995-09-01,10745.18117,153.1,5.6,5.8,3.21,0.55,-1.006184345
1995-10-01,10698.94712,153.5,5.5,5.76,3.13,-0.46,-0.688716276
1995-11-01,10717.29128,153.7,5.6,5.8,2.98,1.12,-0.798635751
1995-12-01,10816.67148,153.9,5.6,5.6,2.75,0.84,-0.783569556
1996-01-01,10794.60814,154.7,5.6,5.56,3,-3.66,-0.794371037
1996-02-01,10811.18547,155,5.5,5.22,2.92,-0.19,-0.890688012
1996-03-01,10869.25488,155.5,5.5,5.31,2.62,3.66,-0.809488278
1996-04-01,11013.00669,156.1,5.6,5.22,3.13,0.16,-0.818857411
1996-05-01,10976.93358,156.4,5.6,5.24,3.25,-3.97,-1.020199469
1996-06-01,11026.73439,156.7,5.3,5.27,3.23,3.5,-0.876565575
1996-07-01,11067.53605,157,5.5,5.4,3.14,-1.34,-0.846706892
1996-08-01,11099.86818,157.2,5.1,5.22,3.11,-0.87,-0.971862959
1996-09-01,11144.94004,157.7,5.2,5.3,3.13,0.7,-1.05730695
1996-10-01,11219.54085,158.2,5.2,5.24,3.18,-0.73,-0.95223182
1996-11-01,11241.2821,158.7,5.4,5.31,3.1,2.23,-0.845153654
1996-12-01,11197.3607,159.1,5.4,5.29,2.96,0.94,-0.795762663
1997-01-01,11263.89831,159.4,5.3,5.25,3.16,-3.63,-0.811927061
1997-02-01,11343.25527,159.7,5.2,5.19,3.13,-0.32,-0.934254373
1997-03-01,11268.27494,159.8,5.2,5.39,3.23,2.35,-0.816866119
1997-04-01,11519.25555,159.9,5.1,5.51,3.23,0.29,-0.782661535
1997-05-01,11409.26658,159.9,4.9,5.5,3.13,-2.51,-0.689337114
1997-06-01,11509.87984,160.2,5,5.56,3.2,2.99,-0.638624562
1997-07-01,11602.83821,160.4,4.9,5.52,3.09,-0.91,-0.729201258
1997-08-01,11632.66697,160.8,4.8,5.54,2.97,0.23,-0.630652437
1997-09-01,11633.62782,161.2,4.9,5.54,3.01,-1.29,-0.535453215
1997-10-01,11708.5434,161.5,4.7,5.5,2.99,0.77,-0.313079024
1997-11-01,11684.40703,161.7,4.6,5.52,2.93,1.84,-0.108436857
1997-12-01,11775.56457,161.8,4.7,5.5,2.94,0.69,-0.123656156
1998-01-01,11713.35963,162,4.6,5.56,2.76,-4.07,-0.108456811
1998-02-01,11886.20615,162,4.6,5.51,2.62,0.33,-0.255093027
1998-03-01,11920.33534,162,4.7,5.49,2.87,2.37,-0.26605089
1998-04-01,11895.25018,162.2,4.3,5.45,2.73,0.21,-0.068963397
1998-05-01,11924.86006,162.6,4.4,5.49,2.64,-2.87,-0.389653416
1998-06-01,12028.4747,162.8,4.5,5.56,2.47,2.13,-0.207762197
1998-07-01,12004.16777,163.2,4.5,5.54,2.74,-0.54,-0.08465532
1998-08-01,12065.03334,163.4,4.5,5.55,2.71,-0.39,0.525808194
1998-09-01,12228.21233,163.5,4.6,5.51,2.53,0.62,1.267847542
1998-10-01,12271.16278,163.9,4.5,5.07,2.36,0.55,1.475948557
1998-11-01,12320.83993,164.1,4.4,4.83,2.35,1.38,0.956141246
1998-12-01,12292.00491,164.4,4.4,4.68,2.27,0.26,0.855442181
1999-01-01,12325.45681,164.7,4.3,4.63,2.4,-4.05,1.007097863
1999-02-01,12419.73434,164.7,4.4,4.76,2.42,-0.14,0.899213568
1999-03-01,12487.00715,164.8,4.2,4.81,2.71,3.1,0.702200333
1999-04-01,12485.9858,165.9,4.3,4.74,2.7,0.38,0.666188548
1999-05-01,12526.14052,166,4.2,4.74,2.74,-3.33,0.323556117
1999-06-01,12531.07923,166,4.3,4.76,2.35,1.9,0.267912279
1999-07-01,12642.91104,166.7,4.3,4.99,2.8,-0.28,0.301901922
1999-08-01,12676.3353,167.1,4.2,5.07,2.81,-0.34,0.51079638
1999-09-01,12720.56581,167.8,4.2,5.22,2.69,-0.22,0.693153674
1999-10-01,12781.47587,168.1,4.1,5.2,2.88,1.55,0.697560015
1999-11-01,12874.12825,168.4,4.1,5.42,2.99,0.9,0.571315481
1999-12-01,13008.71327,168.8,4,5.3,3.16,1.73,0.466496861
2000-01-01,12871.78592,169.3,4,5.45,3.08,-5.65,0.489832778
2000-02-01,12933.56751,170,4.1,5.73,3.16,-0.82,0.487329593
2000-03-01,13000.05209,171,4,5.85,3.24,4.1,1.108244799
2000-04-01,13172.81187,170.9,3.8,6.02,3.16,0.53,1.21764534
2000-05-01,13148.95082,171.2,4,6.27,3.31,-4.21,1.29986008
2000-06-01,13189.96196,172.2,4,6.53,3.76,2.67,1.461643348
2000-07-01,13101.62589,172.7,4,6.54,3.09,-0.04,0.864799702
2000-08-01,13208.633,172.7,4.1,6.5,3.12,-0.93,0.730131864
2000-09-01,13240.63653,173.6,3.9,6.52,3.17,0.26,0.942876757
2000-10-01,13265.76267,173.9,3.9,6.51,3.11,0.91,1.104349881
2000-11-01,13266.48945,174.2,3.9,6.51,3.1,-0.35,1.256397912
2000-12-01,13254.32815,174.6,3.9,6.4,3.17,1.97,1.559110127
2001-01-01,13247.13791,175.6,4.2,5.98,2.65,-3.09,1.419008018
2001-02-01,13220.17075,176,4.2,5.49,2.63,0.07,0.987788924
2001-03-01,13190.68281,176.1,4.3,5.31,2.14,3.2,1.158266619
2001-04-01,13291.50919,176.4,4.4,4.8,2.56,-0.59,1.139447848
2001-05-01,13353.00837,177.3,4.3,4.21,2.72,-2.75,0.720911582
2001-06-01,13259.99817,177.7,4.5,3.97,2.75,2.36,0.68309082
2001-07-01,13219.42545,177.4,4.6,3.77,2.69,0.18,0.588649023
2001-08-01,13370.63964,177.4,4.9,3.65,2.59,-0.86,0.601276289
2001-09-01,13154.60871,178.1,5,3.07,3.12,4.43,1.084894247
2001-10-01,13264.90731,177.6,5.3,2.49,2.29,-8.35,1.302389672
2001-11-01,13195.79297,177.5,5.5,2.09,2.08,4.42,0.644022065
2001-12-01,13394.51939,177.4,5.7,1.82,2.73,2.97,0.471016928
2002-01-01,13430.43144,177.7,5.7,1.73,2.29,-5.62,0.44234171
2002-02-01,13344.68842,178,5.7,1.74,2.15,0.32,0.356921683
2002-03-01,13410.26341,178.5,5.7,1.73,2.01,3.2,0.283182884
