Date,WEI,tPCE,unemp,effr,expinf,WALCL,KCFSI
2008-01-01,1.29,2.56,5,3.94,2.47,90.0264,1.424737971
2008-02-01,0.8825,2.44,4.9,2.98,2.3,89.3825,1.178419953
2008-03-01,0.752,2.48,5.1,2.61,1.93,89.3965,1.798637417
2008-04-01,0.8225,2.5,5,2.28,2.02,88.8131,1.505360639
2008-05-01,0.444,2.55,5.4,1.98,2.29,90.4054,0.945683197
2008-06-01,0.365,2.6,5.6,2,2.73,89.2713,1.558089089
2008-07-01,0.3475,2.69,5.8,2.01,2.95,91.8625,2.309064608
2008-08-01,0.068,2.63,6.1,2,3.05,90.9982,1.637005414
2008-09-01,-0.5075,2.57,6.1,1.81,2.73,121.1825,2.64359466
2008-10-01,-0.945,2.44,6.5,0.97,1.61,196.9086,5.448572641
2008-11-01,-1.734,2.35,6.8,0.39,0.78,210.6117,5.493012451
2008-12-01,-2.6725,2.21,7.3,0.16,0.28,223.9457,5.335869724
2009-01-01,-3.17,2.22,7.8,0.15,0.47,192.7082,5.470550302
2009-02-01,-3.595,2.22,8.3,0.22,0.38,191.6115,4.587726441
2009-03-01,-3.455,2.14,8.7,0.18,-0.48,207.1556,4.57112788
2009-04-01,-3.4725,2.08,9,0.15,1.23,206.6712,4.430926852
2009-05-01,-3.412,1.99,9.4,0.18,1.3,208.0115,3.010952072
2009-06-01,-3.6275,1.86,9.5,0.21,1.27,202.5571,1.716281817
2009-07-01,-3.3775,1.62,9.5,0.16,1.55,200.0547,1.692849739
2009-08-01,-2.804,1.6,9.6,0.16,2.02,207.4902,1.217637402
2009-09-01,-1.89,1.48,9.8,0.15,2.36,214.102,0.872210902
2009-10-01,-0.884,1.5,10,0.12,1.63,216.1537,0.829221219
2009-11-01,0.6125,1.38,9.9,0.12,1.81,220.6359,0.737803439
2009-12-01,1.66,1.36,9.9,0.12,1.79,223.4067,0.49935343
2010-01-01,1.92,1.2,9.8,0.11,1.7,224.6886,0.584372957
2010-02-01,2.88,1.08,9.8,0.13,1.73,228.6127,0.315806468
2010-03-01,3.5625,1,9.9,0.16,1.97,230.715,0.011861981
2010-04-01,3.75,0.93,9.9,0.2,1.59,233.0472,-0.015286798
2010-05-01,4.174,0.88,9.6,0.2,1.56,233.4041,0.530172464
2010-06-01,4.07,0.81,9.4,0.18,1.35,233.0851,0.518356395
2010-07-01,3.888,0.85,9.4,0.18,0.96,232.5298,0.432908665
2010-08-01,3.6025,0.85,9.5,0.19,1.34,230.1015,0.201489234
2010-09-01,3.5425,0.88,9.5,0.19,0.91,229.8691,0.094257072
2010-10-01,3.226,0.8,9.4,0.19,1.37,229.5392,0.194093031
2010-11-01,3.1625,0.85,9.8,0.19,1.4,234.6001,0.01984723
2010-12-01,3.3475,0.89,9.3,0.18,1.49,242.057,-0.070161648
2011-01-01,3.038,1,9.1,0.17,1.79,244.3527,-0.200121503
2011-02-01,2.875,1.16,9,0.16,1.95,253.3221,-0.438520926
2011-03-01,2.695,1.29,9,0.14,2.11,262.2523,-0.289005109
2011-04-01,2.64,1.42,9.1,0.1,2.08,269.0985,-0.378567354
2011-05-01,2.22,1.56,9,0.09,2.29,277.4996,-0.384455576
2011-06-01,2.1875,1.62,9.1,0.09,2.12,286.5251,-0.185318581
2011-07-01,2.22,1.7,9,0.07,2.43,286.3576,-0.114302338
2011-08-01,2.135,1.79,9,0.1,1.51,285.3888,0.686639402
2011-09-01,1.9625,1.84,9,0.08,1.01,285.0921,0.778018053
2011-10-01,2.118,1.93,8.8,0.07,1.47,284.5685,0.8478769
2011-11-01,2.045,1.99,8.6,0.08,1.51,281.4235,0.499371115
2011-12-01,1.974,2.06,8.5,0.07,1.71,292.6095,0.461818489
2012-01-01,1.6425,2.09,8.3,0.08,1.47,291.9545,0.397893018
2012-02-01,1.7175,2.02,8.3,0.1,1.5,292.5722,0.031946058
2012-03-01,1.884,2.02,8.2,0.13,1.36,287.8137,-0.105400537
2012-04-01,2.165,1.99,8.2,0.14,1.69,286.6561,-0.054548044
2012-05-01,2.29,1.92,8.2,0.16,1.59,284.2654,0.121001155
2012-06-01,2.074,1.9,8.2,0.16,0.79,286.3547,0.150049757
2012-07-01,1.9475,1.84,8.2,0.16,1.3,284.6757,0.029105554
2012-08-01,2.0225,1.79,8.1,0.13,1.37,281.2806,-0.283620123
2012-09-01,2.154,1.79,7.8,0.14,1.93,280.4457,-0.410308494
2012-10-01,2.0375,1.78,7.8,0.16,1.61,282.3137,-0.257224597
